celebrity_name,fans_sum,ballroom_partner,fans_sum
Corbin Bleu,1080000,,
Amber Riley,490000,,
Keyshawn Johnson,0,,
Bill Engvall,2190000,,
Christina Milian,7610000,,
Nicole "Snooki" Polizzi,0,,
Jack Osbourne,1380000,,
Bill Nye,4650000,,
Billy Dee Williams,63000,,
Danica McKellar,470000,,
James Maslow,3070000,,
Candace Cameron Bure,3810000,,
Sean Avery,1,,
Diana Nyad,110000,,
Charlie White,120000,,
Amy Purdy,370000,,
Meryl Davis,120000,,
Drew Carey,210000,,
Cody Simpson,5830000,,
NeNe Leakes,3230000,,
Antonio Sabato Jr.,220000,,
Jonathan Bennett,400000,,
Lea Thompson,200000,,
Janel Parrish,470000,,
Alfonso Ribeiro,1080000,,
Lolo Jones,500000,,
Randy Couture,1,,
Tommy Chong,5045,,
Betsey Johnson,23,,
Michael Waltrip,150000,,
Tavis Smiley,230000,,
Bethany Mota,1570000,,
Sadie Robertson,2110000,,
Suzanne Somers,0,,
Willow Shields,750000,,
Riker Lynch,910000,,
Rumer Willis,139,,
Nastia Liukin,510000,,
Michael Sam,150000,,
Robert Herjavec,420000,,
Charlotte McKinney,360000,,
Noah Galloway,140000,,
Redfoo,3830000,,
Patti LaBelle,2840000,,
Chris Soules,190000,,
Gary Busey,500000,,
Alexa PenaVega,1030000,,
Carlos PenaVega,1180000,,
Victor Espinoza,240000,,
Alek Skarlatos,29000,,
Chaka Khan,2530000,,
Andy Grammer,1010000,,
Tamar Braxton,0,,
Nick Carter,1780000,,
Hayes Grier,1740000,,
Bindi Irwin,2970000,,
Kim Zolciak-Biermann,2020000,,
Paula Deen,4710000,,
Mischa Barton,0,,
Kim Fields,0,,
Jodie Sweetin,510000,,
Doug Flutie,50000,,
Von Miller,340000,,
Antonio Brown,790000,,
Paige VanZant,1350000,,
Geraldo Rivera,60000,,
Nyle DiMarco,1000000,,
Ginger Zee,680000,,
Wanya Morris,1760,,
Marla Maples,91000,,
Jake T. Austin,2870000,,
Maureen McCormick,0,,
Marilu Henner,0,,
Ryan Lochte,0,,
Calvin Johnson Jr.,260000,,
Laurie Hernandez,240000,,
Amber Rose,4280000,,
Rick Perry,940000,,
James Hinchcliffe,71000,,
Babyface,2610000,,
Vanilla Ice,2,,
Jana Kramer,910000,,
Terra Jole,40000,,
Charo,63000,,
Mr. T,100000,,
Heather Morris,21000,,
Nancy Kerrigan,871,,
Bonner Bolton,21000,,
Simone Biles,1890000,,
David Ross,922,,
Rashad Jennings,270000,,
Chris Kattan,130000,,
Erika Jayne,570000,,
Normani,850000,,
Nick Viall,230000,,
Sasha Pieterse,1750000,,
Frankie Muniz,1010000,,
Jordan Fisher,340000,,
Derek Fisher,980000,,
Nikki Bella,8380000,,
Terrell Owens,980000,,
Victoria Arlen,45000,,
Barbara Corcoran,750000,,
Lindsey Stirling,4810000,,
Debbie Gibson,640000,,
Nick Lachey,320000,,
Drew Scott,3440000,,
Vanessa Lachey,220000,,
Jamie Anderson,14000,,
Johnny Damon,375,,
Kareem Abdul-Jabbar,1200000,,
Arike Ogunbowale,0,,
Jennie Finch Daigle,520000,,
Chris Mazdzer,0,,
Mirai Nagasu,7917,,
Tonya Harding,0,,
Josh Norman,94000,,
Adam Rippon,130000,,
Juan Pablo Di Pace,598,,
Evanna Lynch,1780000,,
Nancy McKeon,926,,
John Schneider,1330000,,
Milo Manheim,480000,,
Danelle Umstead,11000,,
Mary Lou Retton,8094,,
DeMarcus Ware,700000,,
Nikki Glaser,940000,,
Bobby Bones,568,,
Tinashe,4510000,,
Alexis Ren,4260000,,
Joe Amabile,0,,
Kate Flannery,284,,
James Van Der Beek,670000,,
Kel Mitchell,620000,,
Ray Lewis,2270000,,
Lamar Odom,1710000,,
Sailor Brinkley-Cook,2,,
Sean Spicer,21000,,
Mary Wilson,69000,,
Lauren Alaina,1390000,,
Ally Brooke,1330000,,
Karamo Brown,230000,,
Hannah Brown,240000,,
Anne Heche,371,,
Jesse Metcalfe,770000,,
Chrishell Stause,210000,,
Skai Jackson,5110000,,
Justina Machado,78000,,
Charles Oakley,7098,,
Veron Davis,0,,
Johnny Weir,120000,,
Nev Schulman,2350000,,
AJ McLean,840000,,
Nelly,10470000,,
Kaitlyn Bristowe,160000,,
Carole Baskin,14000,,
Monica Aldama,7688,,
Jeannie Mai,1130000,,
Martin Kove,150000,,
Brian Austin Green,0,,
Melora Hardin,0,,
Matt James,16000,,
Mike "The Miz" Mizanin,0,,
Suni Lee,20000,,
Iman Shumpert,1350000,,
Cody Rigsby,190000,,
Melanie C,450000,,
Jimmie Allen,260000,,
Olivia Jade,3,,
JoJo Siwa,1340000,,
Christine Chiu,0,,
Kenya Moore,880000,,
Amanda Kloots,1265,,
Jason Lewis,27000,,
Cheryl Ladd,180000,,
Selma Blair,220000,,
Joseph Baena,0,,
Trevor Donovan,44000,,
Daniel Durant,630000,,
Wayne Brady,510000,,
Sam Champion,270000,,
Jessie James Decker,1450000,,
Jordin Sparks,8710000,,
Heidi D'Amelio,28000,,
Charli D'Amelio,2570000,,
Teresa Giudice,1020000,,
Vinny Guadagnino,2880000,,
Shangela,500000,,
Gabby Windey,0,,
Jamie Lynn Spears,1160000,,
Mira Sorvino,26000,,
Barry Williams,52000,,
Alyson Hannigan,300000,,
Xochitl Gomez,15000,,
Adrian Peterson,1210000,,
Matt Walsh,2880000,,
Tyson Beckford,450000,,
Jason Mraz,11370000,,
Lele Pons,8490000,,
Harry Jowsey,140000,,
Mauricio Umansky,24000,,
Charity Lawson,4156,,
Ariana Madix,230000,,
Tori Spelling,1250000,,
Eric Roberts,430000,,
Reginald VelJohnson,7481,,
Chandler Kinney,0,,
Dwight Howard?,4830000,,
Danny Amendola,10000,,
Stephen Nedoroscik,4250,,
Ilona Maher,230000,,
Anna Delvey,246,,
Brooks Nader,410000,,
Phaedra Parks,1900000,,
Jenn Tran,28000,,
Joey Graziadei,0,,
Corey Feldman,57000,,
Danielle Fishel,520000,,
Elaine Hendrix,180000,,
Baron Davis,650000,,
Jordan Chiles,150000,,
Andy Richter,100000,,
Robert Irwin,0,,
Hilaria Baldwin,4019,,
Lauren Jauregui,3650000,,
Scott Hoying,380000,,
Alix Earle,0,,
Jen Affleck,820,,
Whitney Leavitt,0,,
Dylan Efron,78000,,
